0	1	2
112	111	110
112	113	111
114	87	85
114	85	90
115	110	87
115	87	114
116	90	89
89	91	116
117	90	116
118	114	90
117	118	90
116	91	119
91	93	119
120	93	92
92	95	120
121	119	93
121	93	120
122	95	94
94	96	122
123	120	95
123	95	122
124	122	96
97	124	96
97	98	125
97	125	124
100	126	98
98	126	125
127	99	101
99	127	100
126	100	127
101	128	127
129	102	104
102	129	101
128	101	129
130	103	107
103	130	104
131	104	130
104	131	129
132	105	108
105	132	107
133	107	132
107	133	130
108	134	132
135	109	136
109	135	108
134	108	135
137	135	136
137	136	138
115	139	110
112	110	140
140	110	139
112	141	113
112	140	141
115	114	142
118	142	114
115	142	139
117	116	143
116	119	143
118	144	142
117	143	144
118	117	144
145	143	119
146	119	121
145	119	146
120	147	121
147	120	123
148	146	121
148	121	147
122	149	123
122	124	149
150	123	149
123	150	147
151	149	124
124	125	151
152	151	125
153	125	126
152	125	153
154	127	128
127	154	126
153	126	154
128	155	154
156	129	131
129	156	128
155	128	156
131	157	156
158	130	133
130	158	131
157	131	158
159	158	133
132	134	160
133	132	160
159	133	160
161	160	134
137	162	135
135	162	134
161	134	162
137	138	163
137	163	162
139	142	164
139	165	140
165	139	164
140	166	141
166	140	165
164	142	167
144	167	142
144	168	167
144	143	168
145	168	143
145	169	168
145	146	169
146	170	169
148	170	146
148	147	171
148	171	170
147	150	171
172	171	150
149	173	150
151	173	149
172	150	173
174	173	151
174	151	152
174	152	175
152	153	176
175	152	176
177	154	155
154	177	153
176	153	177
178	177	155
156	157	179
155	156	179
178	155	179
180	179	157
159	181	158
158	181	157
180	157	181
159	160	182
159	182	181
161	183	160
183	182	160
161	162	184
161	184	183
185	162	163
185	184	162
167	186	164
164	187	165
187	164	186
165	188	166
188	165	187
186	167	189
167	168	189
190	189	168
169	190	168
169	191	190
191	169	170
170	192	191
170	171	192
193	192	171
172	193	171
172	194	193
172	173	194
174	175	195
174	195	173
195	194	173
196	195	175
175	176	197
196	175	197
178	198	177
177	198	176
197	176	198
178	199	198
178	179	199
180	200	179
200	199	179
180	181	201
180	201	200
182	202	181
201	181	202
203	182	183
182	203	202
183	184	204
183	204	203
184	185	205
184	205	204
189	206	186
186	207	187
207	186	206
187	208	188
208	187	207
206	189	209
190	209	189
209	190	210
191	210	190
191	211	210
192	211	191
192	212	211
193	212	192
193	213	212
194	213	193
194	214	213
195	214	194
196	214	195
196	197	215
196	215	214
197	198	216
197	216	215
199	217	198
216	198	217
199	200	218
218	217	199
200	201	219
219	218	200
201	202	220
220	219	201
202	203	221
221	220	202
203	204	222
222	221	203
204	205	223
223	222	204
209	224	206
206	225	207
225	206	224
207	226	208
226	207	225
224	209	227
210	227	209
227	210	228
211	228	210
228	211	229
212	229	211
212	230	229
213	230	212
213	231	230
214	231	213
214	215	231
215	216	232
232	231	215
216	217	233
233	232	216
217	218	234
234	233	217
218	219	235
235	234	218
219	220	236
236	235	219
220	221	237
237	236	220
221	222	238
238	237	221
222	223	239
239	238	222
227	240	224
224	241	225
241	224	240
225	242	226
242	225	241
240	227	243
228	243	227
243	228	244
229	244	228
244	229	245
245	229	230
245	230	246
246	230	231
247	246	231
247	231	232
232	233	248
247	232	248
233	234	249
249	248	233
234	235	250
250	249	234
235	236	251
251	250	235
236	237	252
252	251	236
237	238	253
253	252	237
238	239	254
254	253	238
243	255	240
240	256	241
256	240	255
241	257	242
257	241	256
255	243	258
244	258	243
258	244	259
245	259	244
260	259	245
246	260	245
247	248	261
247	261	246
260	246	261
248	249	262
248	262	261
249	250	263
263	262	249
250	251	264
264	263	250
251	252	265
265	264	251
252	253	266
266	265	252
253	254	267
267	266	253
258	268	255
255	269	256
269	255	268
256	270	257
270	256	269
268	258	271
259	271	258
271	259	272
259	260	272
273	272	260
273	260	261
262	274	261
273	261	274
262	263	275
275	274	262
263	264	276
276	275	263
264	265	277
277	276	264
265	266	278
278	277	265
266	267	279
279	278	266
271	280	268
268	281	269
281	268	280
269	282	270
282	269	281
271	283	280
272	283	271
283	272	284
273	284	272
273	274	284
274	275	285
285	284	274
275	276	286
286	285	275
276	277	287
287	286	276
277	278	288
288	287	277
278	279	289
289	288	278
290	280	283
280	291	281
291	280	290
281	292	282
292	281	291
293	290	283
293	283	284
294	293	284
294	284	285
285	286	295
294	285	295
286	287	296
296	295	286
287	288	297
297	296	287
288	289	298
298	297	288
290	293	299
290	300	291
299	300	290
291	301	292
301	291	300
299	293	302
294	295	302
294	302	293
295	296	303
295	303	302
296	297	304
304	303	296
297	298	305
305	304	297
306	299	302
300	299	307
306	307	299
300	308	301
307	308	300
303	309	302
306	302	309
303	304	310
310	309	303
304	305	311
311	310	304
306	312	307
306	309	312
308	307	313
313	307	312
309	310	314
314	312	309
310	311	315
315	314	310
316	312	314
313	312	317
316	317	312
314	315	318
316	314	318
316	318	319
316	319	317
